song,artist,releaseYear,wasFirst,hasYear,playCount
Bad Love,Eric Clapton,1989,1,1,14
It's In The Way That You Use It,Eric Clapton,1986,1,1,10
Lay Down Sally,Eric Clapton,1977,1,1,10
Forever Man,Eric Clapton,1985,1,1,9
I Can't Stand It,Eric Clapton,1981,1,1,9
Pretending,Eric Clapton,1989,1,1,6
Let It Grow,Eric Clapton,1974,1,1,4
Call Me the Breeze,Eric Clapton,,1,0,3
I've Got a Rock 'N' Roll Heart,Eric Clapton,,1,0,3
She's Waiting,Eric Clapton,1985,1,1,3
"Don't Think Twice, It's Alright",Eric Clapton,,1,0,1
Tears In Heaven,Eric Clapton,,1,0,1
The Core,Eric Clapton,1977,1,1,1
Willie and the Hand Jive,Eric Clapton,,1,0,1
Layla,Eric Clapton,,1,0,0
Cliffs Of Dover,Eric Johnson,1990,1,1,2
The Final Countdown,Europe,1986,1,1,5
Sweet Dreams (Are Made of This),Eurythmics,1982,1,1,2
Inside Out,Eve 6,,1,0,1
Santa Monica,Everclear,1996,1,1,2
The Boys Are Back In Town,Everclear,,1,0,1
What It's Like,Everlast,1999,1,1,4
More Than Words,Extreme,1991,1,1,1
Mutha (Don't Wanna Go To School Today),Extreme,,1,0,1
Stay With Me,Faces,1971,1,1,19
Ooh La La,Faces,1973,1,1,1
Epic,Faith No More,1989,1,1,3
House Of Pain,Faster Pussycat,1990,1,1,1
All The Kings Horses,Firm,,1,0,1
Signs,Five Man Electrical Band,1970,1,1,10
Go Your Own Way,Fleetwood Mac,1977,1,1,77
Gypsy,Fleetwood Mac,1982,1,1,67
The Chain,Fleetwood Mac,1977,1,1,65
Dreams,Fleetwood Mac,1977,1,1,53
Don't Stop,Fleetwood Mac,1977,1,1,50
Rhiannon,Fleetwood Mac,1975,1,1,48
Gold Dust Woman,Fleetwood Mac,1977,1,1,37
You Make Loving Fun,Fleetwood Mac,1977,1,1,31
Monday Morning,Fleetwood Mac,1975,1,1,30
Landslide,Fleetwood Mac,1975,1,1,29
Oh Well,Fleetwood Mac,1969,1,1,10
Say You Love Me,Fleetwood Mac,,1,0,9
Tusk,Fleetwood Mac,1979,1,1,6
World Turning,Fleetwood Mac,,1,0,6
Second Hand News,Fleetwood Mac,1977,1,1,4
I Don't Want To Know,Fleetwood Mac,1977,1,1,3
Hypnotized,Fleetwood Mac,1973,1,1,2
Blue Letter,Fleetwood Mac,,1,0,1
Hold Me,Fleetwood Mac,1982,1,1,1
I'm So Afraid,Fleetwood Mac,,1,0,1
Little Lies,Fleetwood Mac,1987,1,1,1
Never Going Back Again,Fleetwood Mac,1977,1,1,1
Sara,Fleetwood Mac,1980,1,1,1
Sentimental Lady,Fleetwood Mac,,1,0,1
Hocus Pocus,Focus,1971,1,1,6
Slow Ride,Foghat,1975,1,1,77
Fool For The City,Foghat,1975,1,1,26
I Just Want To Make Love To You,Foghat,,1,0,25
Dreamer,Foghat,,1,0,2
Learn To Fly,Foo Fighters,1999,1,1,10
My Hero,Foo Fighters,1997,1,1,7
Everlong,Foo Fighters,1997,1,1,6
Monkey Wrench,Foo Fighters,1997,1,1,3
All My Life,Foo Fighters,2002,1,1,2
These Days,Foo Fighters,2011,1,1,2
Baker Street,Foo Fighters,,1,0,1
Best of You,Foo Fighters,2005,1,1,1
The Pretender,Foo Fighters,2007,1,1,1
Times Like These,Foo Fighters,2002,1,1,1
Cold As Ice,Foreigner,1977,1,1,102
Double Vision,Foreigner,1978,1,1,83
Hot Blooded,Foreigner,1978,1,1,82
Feels Like the First Time,Foreigner,1977,1,1,75
Juke Box Hero,Foreigner,1981,1,1,75
Urgent,Foreigner,1981,1,1,61
"Blue Morning, Blue Day",Foreigner,,1,0,52
Head Games,Foreigner,,1,0,43
"Long, Long Way From Home",Foreigner,,1,0,34
Dirty White Boy,Foreigner,1979,1,1,17
Waiting for a Girl Like You,Foreigner,1981,1,1,5
I Want to Know What Love Is,Foreigner,1984,1,1,4
That Was Yesterday,Foreigner,1984,1,1,4
Love Has Taken Its Toll,Foreigner,,1,0,1
Starrider,Foreigner,,1,0,1
Women,Foreigner,,1,0,1
Joe's Garage,Frank Zappa,1979,1,1,1
Peaches En Regalia,Frank Zappa,,1,0,1
All Right Now,Free,1970,1,1,97
Hemorrhage,Free,,1,0,1
Wishing Well,Free,1973,1,1,1
Maggot Brain,Funkadelic,1971,1,1,1
CARS,Gary Numan,1979,1,1,1
Dream Weaver,Gary Wright,1975,1,1,9
Love Is Alive,Gary Wright,,1,0,2
Abacab,Genesis,1981,1,1,35
That's All,Genesis,1983,1,1,35
Just A Job To Do,Genesis,,1,0,29
Misunderstanding,Genesis,1980,1,1,23
The Lamb Lies Down On Broadway,Genesis,1974,1,1,23
Turn It On Again,Genesis,1980,1,1,23
Follow You Follow Me,Genesis,1978,1,1,18
No Reply At All,Genesis,1981,1,1,18
Land Of Confusion,Genesis,1986,1,1,17
Mama,Genesis,1983,1,1,17
Man On The Corner,Genesis,1981,1,1,12
Behind The Lines,Genesis,,1,0,2
A Trick of the Tail,Genesis,1976,1,1,1
Carpet Crawlers,Genesis,,1,0,1
Home by the Sea/Second Home by the Sea,Genesis,1983,1,1,1
Tonight Tonight (live),Genesis,1986,1,1,1
My Sweet Lord,George Harrison,1970,1,1,6
Give Me Love,George Harrison,1973,1,1,3
GOT MY MIND SET ON YOU,George Harrison,1987,1,1,1
Bad to the Bone,George Thorogood,1982,1,1,63
Who Do You Love,George Thorogood,,1,0,37
I Drink Alone,George Thorogood,1985,1,1,33
"One Bourbon, One Scotch, One Beer",George Thorogood,,1,0,23
Move It On Over,George Thorogood,,1,0,14
It Wasn't Me,George Thorogood,,1,0,6
Delaware Slide,George Thorogood,,1,0,1
Get A Haircut,George Thorogood,,1,0,1
Keep Your Hands To Yourself,Georgia Satellites,1986,1,1,17
Baker Street,Gerry Rafferty,1978,1,1,16
Right Down the Line,Gerry Rafferty,1978,1,1,8
Hey Jealousy,Gin Blossoms,1992,1,1,3
Found Out About You,Gin Blossoms,1993,1,1,1
Smuggler's Blues,Glenn Frey,1984,1,1,3
You Belong to the City,Glenn Frey,1985,1,1,2
Marakesh Express,Gold Star Ballroom Orchestra,,1,0,2
Twilight Zone,Golden Earring,1983,1,1,75
Radar Love,Golden Earring,1973,1,1,66
Are You Receiving Me,Golden Earring,1973,1,1,1
Sundown,Gordon Lightfoot,1974,1,1,7
Soulshine,Gov't Mule,,1,0,3
We're an American Band,Grand Funk Railroad,1973,1,1,25
Some Kind of Wonderful,Grand Funk Railroad,1975,1,1,14
Loco-Motion,Grand Funk Railroad,1974,1,1,9
Closer To Home (I'm Your Captain),Grand Funk Railroad,1970,1,1,8
Bad Time,Grand Funk Railroad,1974,1,1,1
Shinin' On,Grand Funk Railroad,1974,1,1,1
Touch of Grey,Grateful Dead,1987,1,1,26
Truckin',Grateful Dead,1970,1,1,19
Uncle John's Band,Grateful Dead,1969,1,1,9
Casey Jones,Grateful Dead,1970,1,1,3
Sugar Magnolia,Grateful Dead,1970,1,1,3
Friend Of The Devil,Grateful Dead,1970,1,1,2
Scarlet Begonias,Grateful Dead,,1,0,2
Shakedown Street,Grateful Dead,,1,0,2
U.S. Blues,Grateful Dead,,1,0,2
Alabama Getaway,Grateful Dead,,1,0,1
Black-Throated Wind,Grateful Dead,,1,0,1
CHINA TOWN SHUFFLE,Grateful Dead,,1,0,1
Hell in a Bucket,Grateful Dead,,1,0,1
Loser,Grateful Dead,,1,0,1
Me and Bobby McGee,Grateful Dead,,1,0,1
NOT FADEAWAY/GOING /AWAY,Grateful Dead,,1,0,1
Turn On Your Lovelight,Grateful Dead,,1,0,1
"Once Bitten, Twice Shy",Great White,1989,1,1,12
Rock Me,Great White,,1,0,4
Mista Bone,Great White,,1,0,1
Rollin' Stoned,Great White,,1,0,1
Save Your Love,Great White,,1,0,1
When I Come Around,Green Day,1994,1,1,14
Good Riddance (Time Of Your Life),Green Day,1997,1,1,10
Boulevard Of Broken Dreams,Green Day,2004,1,1,6
Basket Case,Green Day,1994,1,1,5
Holiday / Boulevard of Broken Dreams,Green Day,2004,1,1,5
Holiday (Live),Green Day,2004,1,1,4
Longview,Green Day,1994,1,1,2
Brain Stew/Jaded,Green Day,1995,1,1,1
The Break Up Song,Greg Kihn Band,1981,1,1,49
I'm No Angel,Gregg Allman,1987,1,1,17
Midnight Rider,Gregg Allman,1970,1,1,6
American Woman,Guess Who,1970,1,1,80
No Sugar Tonight / New Mother Nature,Guess Who,1970,1,1,11
No Time,Guess Who,,1,0,4
Friends Of Mine,Guess Who,,1,0,1
THESE EYES,Guess Who,1969,1,1,1
Sweet Child O' Mine,Guns N' Roses,1987,1,1,85
Paradise City,Guns N' Roses,1987,1,1,75
Welcome to the Jungle,Guns N' Roses,1987,1,1,74
Knockin' On Heaven's Door,Guns N' Roses,,1,0,31
Live and Let Die,Guns N' Roses,,1,0,29
Patience,Guns N' Roses,1988,1,1,21
November Rain,Guns N' Roses,1991,1,1,13
You Could Be Mine,Guns N' Roses,,1,0,4
Don't Cry,Guns N' Roses,,1,0,3
Civil War,Guns N' Roses,1991,1,1,1
Mr. Brownstone,Guns N' Roses,1987,1,1,1
My Michelle,Guns N' Roses,1987,1,1,1
Used To Love Her,Guns N' Roses,1988,1,1,1
AS FAR AS YOU CAN SEE (AS MU,Gypsy,,1,0,1
Axel F Theme,Harold Faltermeyer,1984,1,1,1
Cat's In The Cradle,Harry Chapin,1974,1,1,4
W*O*L*D*,Harry Chapin,1974,1,1,1
Jump into the Fire,Harry Nilsson,,1,0,3
Never Been Any Reason,Head East,1975,1,1,16
Crazy On You,Heart,1976,1,1,125
Magic Man,Heart,1976,1,1,115
Barracuda,Heart,1977,1,1,113
Straight On,Heart,1978,1,1,36
Even It Up,Heart,,1,0,8
Kick It Out,Heart,,1,0,7
Alone,Heart,1987,1,1,4
Nothin' at All,Heart,,1,0,4
Stairway To Heaven,Heart,,1,0,4
Dog & Butterfly,Heart,,1,0,3
Dreamboat Annie,Heart,1976,1,1,3
Heartless,Heart,,1,0,3
Never,Heart,,1,0,3
What About Love?,Heart,,1,0,3
All I Wanna Do Is Make Love to You,Heart,,1,0,2
How Can I Refuse,Heart,1983,1,1,2
If Looks Could Kill,Heart,,1,0,2
Tell It Like It Is,Heart,,1,0,2
Who Will You Run To,Heart,,1,0,2
Bebe le Strange,Heart,,1,0,1
Little Queen,Heart,,1,0,1
Love Alive,Heart,,1,0,1
Mistral Wind,Heart,,1,0,1
Rock And Roll,Heart,,1,0,1
House Of Living,Heartsfield,,1,0,1
Sangre Por Sangre,HellYeah,,1,0,4
Grey Ghost,Henry Paul Band,1979,1,1,1
Long Cool Woman,Hollies,1971,1,1,39
New Girl Now,Honeymoon Suite,,1,0,2
ALL YOU ZOMBIES,Hooters,1985,1,1,4
AND WE DANCED,Hooters,1985,1,1,4
I Want A New Drug,Huey Lewis & The News,1983,1,1,4
30 Days In the Hole,Humble Pie,1972,1,1,2
Lust for Life,Iggy Pop,1977,1,1,4
The Passenger,Iggy Pop,1977,1,1,1
Radioactive,Imagine Dragons,2012,1,1,3
What You Need,INXS,1985,1,1,28
Need You Tonight,INXS,1987,1,1,12
Devil Inside,INXS,1988,1,1,5
New Sensation,INXS,,1,0,2
In A Gadda Da Vida,Iron Butterfly,1968,1,1,1
Run To The Hills,Iron Maiden,1982,1,1,27
The Number Of The Beast,Iron Maiden,1982,1,1,18
Wasted Years,Iron Maiden,1986,1,1,8
The Trooper,Iron Maiden,1983,1,1,3
Flight Of Icarus,Iron Maiden,1983,1,1,1
Centerfold,J. Geils Band,1981,1,1,78
Give It To Me,J. Geils Band,1973,1,1,28
Freeze-frame,J. Geils Band,1981,1,1,17
Love Stinks,J. Geils Band,,1,0,10
Must of Got Lost,J. Geils Band,,1,0,10
Whammer Jammer,J. Geils Band,,1,0,2
Houseparty,J. Geils Band,,1,0,1
Looking For A Love,J. Geils Band,,1,0,1
Night Time,J. Geils Band,,1,0,1
Running On Empty,Jackson Browne,1977,1,1,39
The Load-out/stay,Jackson Browne,1977,1,1,21
Doctor My Eyes,Jackson Browne,1972,1,1,9
Somebody's Baby,Jackson Browne,1982,1,1,7
Boulevard,Jackson Browne,,1,0,5
Take It Easy,Jackson Browne,,1,0,5
Load Out/Stay,Jackson Browne,1977,1,1,2
Redneck Friend,Jackson Browne,1973,1,1,1
The Road and the Sky,Jackson Browne,1977,1,1,1
Funk #49,James Gang,1970,1,1,18
Walk Away,James Gang,,1,0,10
YOU'VE GOT A FRIEND,JAMES TAYLOR,1971,1,1,1
Been Caught Stealing,Jane's Addiction,1990,1,1,3
Jane Says,Jane's Addiction,1988,1,1,1
Piece of My Heart,Janis Joplin,1968,1,1,28
Me and Bobby McGee,Janis Joplin,1971,1,1,23
Summertime,Janis Joplin,,1,0,3
Move Over,Janis Joplin,1971,1,1,2
Get It While You Can,Janis Joplin,1971,1,1,1
Thunder Island,Jay Ferguson,1978,1,1,3
Shakedown Cruise,Jay Ferguson,,1,0,1
Freeway Jam,Jeff Beck,1975,1,1,1
Rice Pudding,Jeff Beck,,1,0,1
White Rabbit,Jefferson Airplane,1967,1,1,23
Somebody to Love,Jefferson Airplane,1967,1,1,13
Jane,Jefferson Starship,1979,1,1,32
Find Your Way Back,Jefferson Starship,,1,0,20
We Built This City,Jefferson Starship,1985,1,1,3
Ride the Tiger,Jefferson Starship,,1,0,1
Right Here Right Now,Jesus Jones,1991,1,1,3
Cold Hard Bitch,Jet,2004,1,1,2
Are You Gonna Be My Girl,Jet,2003,1,1,1
Locomotive Breath,Jethro Tull,1971,1,1,53
Aqualung,Jethro Tull,1971,1,1,21
Bungle In The Jungle,Jethro Tull,1974,1,1,19
Teacher,Jethro Tull,1972,1,1,17
Thick As A Brick,Jethro Tull,,1,0,15
Living In The Past,Jethro Tull,1969,1,1,13
Cross-eyed Mary,Jethro Tull,1971,1,1,12
Too Old To Rock 'n' Roll,Jethro Tull,,1,0,10
Nothing Is Easy,Jethro Tull,,1,0,2
Hymn 43,Jethro Tull,,1,0,1
TIME IN A BOTTLE,Jim Croce,1972,1,1,1
All Along the Watchtower,Jimi Hendrix,1968,1,1,141
Purple Haze,Jimi Hendrix,1967,1,1,67
Fire,Jimi Hendrix,1967,1,1,63
Hey Joe,Jimi Hendrix,1966,1,1,51
Foxey Lady,Jimi Hendrix,1967,1,1,50
The Wind Cries Mary,Jimi Hendrix,1967,1,1,21
Crosstown Traffic,Jimi Hendrix,1968,1,1,8
Manic Depression,Jimi Hendrix,1967,1,1,7
Little Wing,Jimi Hendrix,1967,1,1,6
Are You Experienced?,Jimi Hendrix,1967,1,1,4
Red House,Jimi Hendrix,1967,1,1,4
Stone Free,Jimi Hendrix,1966,1,1,4
Dolly Dagger,Jimi Hendrix,1970,1,1,3
Third Stone From The Sun,Jimi Hendrix,1967,1,1,2
Voodoo Child (Slight Return),Jimi Hendrix,1968,1,1,2
Angel,Jimi Hendrix,1971,1,1,1
If 6 Was 9,Jimi Hendrix,,1,0,1
Like a Rolling Stone,Jimi Hendrix,,1,0,1
Margaritaville,Jimmy Buffett,1977,1,1,17
Why Don't We Get Drunk,Jimmy Buffett,1973,1,1,2
Son of a Son of a Sailor,Jimmy Buffett,1978,1,1,1
I Love Rock 'n Roll,Joan Jett,1981,1,1,82
I Hate Myself For Loving You,Joan Jett,1988,1,1,16
Crimson And Clover,Joan Jett,,1,0,6
Bad Reputation,Joan Jett,1981,1,1,1
Feelin' Alright,Joe Cocker,,1,0,33
With A Little Help From My Friends,Joe Cocker,1968,1,1,9
Cry Me a River,Joe Cocker,,1,0,1
The Letter,Joe Cocker,,1,0,1
You Can Leave Your Hat On (Live),Joe Cocker,,1,0,1
Is She Really Going Out With Him?,Joe Jackson,1979,1,1,6
"Always With Me, Always With You",Joe Satriani,,1,0,5
Summer Song,Joe Satriani,,1,0,4
Life's Been Good,Joe Walsh,,1,0,91
Rocky Mountain Way,Joe Walsh,1973,1,1,70
All Night Long,Joe Walsh,1980,1,1,41
The Confessor,Joe Walsh,,1,0,7
In the City,Joe Walsh,1979,1,1,6
A Life Of Illusion,Joe Walsh,1981,1,1,5
Funk #49,Joe Walsh,2012,1,1,4
Ordinary Average Guy,Joe Walsh,1991,1,1,2
Turn To Stone,Joe Walsh,,1,0,2
Analog Man,Joe Walsh,2012,1,1,1
On the Dark Side,John Cafferty,1983,1,1,19
The Old Man Down The Road,John Fogerty,1985,1,1,12
Centerfield,John Fogerty,1985,1,1,11
Imagine,John Lennon,1971,1,1,31
Instant Karma,John Lennon,1970,1,1,21
Watching the Wheels,John Lennon,1980,1,1,14
#9 Dream,John Lennon,1974,1,1,2
Mind Games,John Lennon,,1,0,1
Woman,John Lennon,1980,1,1,1
Jack & Diane,John Mellencamp,1982,1,1,73
Small Town,John Mellencamp,1985,1,1,55
Hurts So Good,John Mellencamp,1982,1,1,40
Pink Houses,John Mellencamp,1984,1,1,34
I Need A Lover,John Mellencamp,1978,1,1,24
Authority Song,John Mellencamp,1983,1,1,20
Crumblin' Down,John Mellencamp,1983,1,1,17
Lonely Ol' Night,John Mellencamp,1985,1,1,7
R.O.C.K. In the U.S.A.,John Mellencamp,1985,1,1,4
Ain't Even Done With the Night,John Mellencamp,,1,0,2
Again Tonight,John Mellencamp,,1,0,1
Check It Out,John Mellencamp,,1,0,1
Cherry Bomb,John Mellencamp,,1,0,1
Paper in Fire,John Mellencamp,1987,1,1,1
Rain On The Scarecrow,John Mellencamp,1985,1,1,1
What If I Came Knocking,John Mellencamp,,1,0,1
Illegal Smile,John Prine,,1,0,1
I CAN SEE CLEARLY NOW,Johnny Nash,1972,1,1,2
Brickyard Road,Johnny Van Zant,1990,1,1,1
Shanty,Jonathan Edwards,,1,0,2
Roadrunner,Jonathan Richman,1977,1,1,1
Wheel in the Sky,Journey,1978,1,1,114
Any Way You Want It,Journey,1980,1,1,105
Don't Stop Believin',Journey,1981,1,1,105
Separate Ways (Worlds Apart),Journey,1983,1,1,100
Lights,Journey,1978,1,1,93
"Lovin', Touchin' Squeezin'",Journey,1979,1,1,60
Stone In Love,Journey,,1,0,32
Who's Crying Now,Journey,1981,1,1,29
Faithfully,Journey,1983,1,1,14
Feeling That Way,Journey,1978,1,1,13
Open Arms,Journey,1982,1,1,10
City of the Angels,Journey,,1,0,4
Just the Same Way,Journey,,1,0,4
Only the Young,Journey,1985,1,1,3
Escape,Journey,,1,0,1
Look Into The Future,Journey,,1,0,1
Send Her My Love,Journey,1983,1,1,1
Living After Midnight,Judas Priest,1980,1,1,32
You've Got Another Thing Comin',Judas Priest,,1,0,26
Heading Out To The Highway,Judas Priest,,1,0,10
Breaking The Law,Judas Priest,1980,1,1,7
Diamonds And Rust,Judas Priest,,1,0,1
Electric Eye,Judas Priest,1982,1,1,1
Hot Rockin',Judas Priest,,1,0,1
The Ripper,Judas Priest,1976,1,1,1
Turbo Lover,Judas Priest,,1,0,1
Simple Man,Junkyard,,1,0,1
Carry On Wayward Son,Kansas,1976,1,1,134
Dust In The Wind,Kansas,1977,1,1,62
Point of Know Return,Kansas,1977,1,1,30
Play the Game Tonight,Kansas,1982,1,1,1
I'm Alright,Kenny Loggins,1980,1,1,5
Just Dropped In,Kenny Loggins,,1,0,1
Blue On Black,Kenny Wayne Shepherd,,1,0,15
"Somehow, Somewhere, Someway",Kenny Wayne Shepherd,,1,0,1
All Summer Long,Kid Rock,2007,1,1,8
Cowboy,Kid Rock,1998,1,1,3
Let's Ride,Kid Rock,2012,1,1,1
If I Say,Kingofthehill,,1,0,1
Use Somebody,Kings of Leon,2008,1,1,2
Sex On Fire,Kings of Leon,2008,1,1,1
Rock And Roll All Nite,Kiss,1975,1,1,119
Detroit Rock City,Kiss,1976,1,1,27
Shout It out Loud,Kiss,,1,0,5
Calling Dr. Love,Kiss,1976,1,1,4
Lick It Up,Kiss,1983,1,1,4
Beth,Kiss,1976,1,1,2
Cold Gin,Kiss,1973,1,1,2
Heaven's On Fire,Kiss,,1,0,2
Christeen Sixteen,Kiss,,1,0,1
Strutter,Kiss,1974,1,1,1
Tears Are Falling,Kiss,,1,0,1
Screaming In The Night,Krokus,,1,0,3
Long Stick Goes Boom,Krokus,,1,0,1
Stayed Awake All Night,Krokus,,1,0,1
Sex Action,L.A. Guns,,1,0,1
Key To The Rhyme,Lake,,1,0,1
Black Dog,Led Zeppelin,1971,1,1,105
Over the Hills and Far Away,Led Zeppelin,1973,1,1,94
Rock and Roll,Led Zeppelin,1971,1,1,92
Ramble On,Led Zeppelin,1969,1,1,90
D'Yer Mak'er,Led Zeppelin,1973,1,1,88
Immigrant Song,Led Zeppelin,1970,1,1,87
All My Love,Led Zeppelin,1979,1,1,83
Stairway to Heaven,Led Zeppelin,1971,1,1,79
Whole Lotta Love,Led Zeppelin,1969,1,1,72
Fool In the Rain,Led Zeppelin,1979,1,1,69
Kashmir,Led Zeppelin,1975,1,1,64
The Ocean,Led Zeppelin,1973,1,1,54
Houses of the Holy,Led Zeppelin,1975,1,1,45
Good Times Bad Times,Led Zeppelin,1969,1,1,43
Going to California,Led Zeppelin,1971,1,1,42
What Is and What Should Never Be,Led Zeppelin,1969,1,1,40
Heartbreaker/living Loving Maid {she's Just A Woman},Led Zeppelin,1969,1,1,35
Trampled Under Foot,Led Zeppelin,1975,1,1,35
Hey Hey What Can I Do,Led Zeppelin,1970,1,1,32
Misty Mountain Hop,Led Zeppelin,1971,1,1,31
Dancing Days,Led Zeppelin,1973,1,1,28
Babe I'm Gonna Leave You,Led Zeppelin,1969,1,1,24
Communication Breakdown,Led Zeppelin,1969,1,1,18
When The Levee Breaks,Led Zeppelin,1971,1,1,17
Dazed and Confused,Led Zeppelin,1969,1,1,15
In the Evening,Led Zeppelin,1979,1,1,11
Since I've Been Loving You,Led Zeppelin,1970,1,1,11
The Battle Of Evermore,Led Zeppelin,1971,1,1,11
Nobody's Fault But Mine,Led Zeppelin,,1,0,10
Your Time Is Gonna Come,Led Zeppelin,1969,1,1,10
Traveling Riverside Blues,Led Zeppelin,1982,1,1,9
Hats Off To {roy} Harper,Led Zeppelin,1970,1,1,8
Thank You,Led Zeppelin,1969,1,1,8
Living Loving Maid (She's Just a Woman),Led Zeppelin,1969,1,1,7
Custard Pie,Led Zeppelin,1975,1,1,6
Out On The Tiles,Led Zeppelin,1970,1,1,6
Four Sticks,Led Zeppelin,1971,1,1,5
Moby Dick,Led Zeppelin,1969,1,1,5
Ten Years Gone,Led Zeppelin,1975,1,1,5
Boogie With Stu,Led Zeppelin,1975,1,1,4
Celebration Day,Led Zeppelin,1970,1,1,4
Gallows Pole,Led Zeppelin,1970,1,1,4
Hot Dog,Led Zeppelin,1979,1,1,4
In the Light,Led Zeppelin,1975,1,1,4
Bonzo's Montreaux,Led Zeppelin,1982,1,1,3
No Quarter,Led Zeppelin,1973,1,1,3
The Lemon Song,Led Zeppelin,1969,1,1,3
The Rain Song,Led Zeppelin,1973,1,1,3
You Shook Me,Led Zeppelin,1969,1,1,3
Bron-y-aur Stomp,Led Zeppelin,1970,1,1,2
Darlene,Led Zeppelin,1982,1,1,2
Friends,Led Zeppelin,1970,1,1,2
How Many More Times,Led Zeppelin,1969,1,1,2
In My Time of Dying,Led Zeppelin,1975,1,1,2
Royal Orleans,Led Zeppelin,1976,1,1,2
The Rover,Led Zeppelin,1975,1,1,2
The Song Remains the Same,Led Zeppelin,1973,1,1,2
Black Mountain Side,Led Zeppelin,1969,1,1,1
Bring It On Home,Led Zeppelin,1969,1,1,1
Down By The Seaside,Led Zeppelin,1975,1,1,1
For Your Life,Led Zeppelin,1976,1,1,1
I Can't Quit You Baby,Led Zeppelin,1969,1,1,1
NIGHT FLIGHT,Led Zeppelin,1975,1,1,1
South Bound Saurez,Led Zeppelin,1979,1,1,1
TANGERINE,Led Zeppelin,1970,1,1,1
That's the Way,Led Zeppelin,1970,1,1,1
The Crunge,Led Zeppelin,1973,1,1,1
THE WANTON SONG,Led Zeppelin,1975,1,1,1
"Hey, Hey (What Can I Do?)",Led Zeppelin,1970,1,1,0
Do You Know What I Mean,Lee Michaels,,1,0,3
Woman,Legs Diamond,,1,0,2
Are You Gonna Go My Way,Lenny Kravitz,1993,1,1,11
Fly Away,Lenny Kravitz,1998,1,1,10
American Woman,Lenny Kravitz,1998,1,1,4
Stranger In A Strange Land,Leon Russell,,1,0,1
My Own Worst Enemy,Lit,1999,1,1,2
Close My Eyes Forever,Lita Ford,1988,1,1,5
Kiss Me Deadly,Lita Ford,1988,1,1,1
Dixie Chicken,Little Feat,1973,1,1,20
All That You Dream,Little Feat,,1,0,1
Lightning Crashes,Live,1994,1,1,4
I Alone,Live,,1,0,3
Cult Of Personality,Living Colour,1988,1,1,12
Bound for the Floor,Local H,1996,1,1,2
Conquistador,London Symphony Orchestra,1967,1,1,2
Midnight Blue,Lou Gramm,,1,0,1
Walk On The Wild Side,Lou Reed,1972,1,1,31
Sweet Jane (Live),Lou Reed,1970,1,1,1
Working for the Weekend,Loverboy,1981,1,1,27
Turn Me Loose,Loverboy,1980,1,1,16
Lovin' Every Minute of It,Loverboy,,1,0,8
The Kid Is Hot Tonite,Loverboy,1980,1,1,2
Wicked Sensation,Lynch Mob,,1,0,1
Sweet Home Alabama,Lynyrd Skynyrd,1974,1,1,95
Free Bird,Lynyrd Skynyrd,1973,1,1,75
What's Your Name,Lynyrd Skynyrd,1977,1,1,64
Gimme Three Steps,Lynyrd Skynyrd,1973,1,1,47
Simple Man,Lynyrd Skynyrd,1973,1,1,47
Dixie/Sweet Home Alabama,Lynyrd Skynyrd,1974,1,1,33
Tuesday's Gone,Lynyrd Skynyrd,1973,1,1,31
Call Me the Breeze,Lynyrd Skynyrd,1974,1,1,25
That Smell,Lynyrd Skynyrd,1977,1,1,24
Saturday Night Special,Lynyrd Skynyrd,1975,1,1,21
Don't Ask Me No Questions,Lynyrd Skynyrd,1974,1,1,14
You Got That Right,Lynyrd Skynyrd,,1,0,13
The Ballad Of Curtis Loew,Lynyrd Skynyrd,1974,1,1,8
Gimme Back My Bullets,Lynyrd Skynyrd,1976,1,1,4
I Know a Little,Lynyrd Skynyrd,1977,1,1,4
Merry-Go-Round,Mama's Pride,,1,0,1
Blinded by the Light,Manfred Mann,1976,1,1,114
Do Wah Diddy Diddy,Manfred Mann,1964,1,1,2
Sex and Candy,Marcy Playground,,1,0,2
Paradise By The Dashboard Light,Meat Loaf,1977,1,1,10
You Took The Words Right Out Of My Mouth,Meat Loaf,1977,1,1,9
TWO OUT OF THREE AIN'T BAD,Meat Loaf,1977,1,1,1
I'm the Only One,Melissa Etheridge,1993,1,1,1
Who Can It Be Now?,Men At Work,1982,1,1,6
Down Under,Men At Work,1982,1,1,5
Enter Sandman,Metallica,1991,1,1,34
The Unforgiven,Metallica,1991,1,1,19
Turn The Page,Metallica,,1,0,13
Nothing Else Matters,Metallica,1991,1,1,10
Fade To Black,Metallica,1984,1,1,4
Sad But True,Metallica,1991,1,1,4
The Memory Remains,Metallica,1997,1,1,3
Wherever I May Roam,Metallica,1991,1,1,3
Breadfan,Metallica,1998,1,1,2
Fuel,Metallica,1997,1,1,2
Master of Puppets,Metallica,1986,1,1,2
Until It Sleeps,Metallica,1996,1,1,2
For Whom The Bell Tolls,Metallica,1984,1,1,1
Harvester Of Sorrow,Metallica,1988,1,1,1
Hero of the Day,Metallica,1996,1,1,1
Lords of Summer (First Pass Version),Metallica,,1,0,1
No Leaf Clover,Metallica,1999,1,1,1
One,Metallica,1988,1,1,1
Seek & Destroy,Metallica,1983,1,1,1
Whiskey In The Jar,Metallica,,1,0,1
Cruisin',Michael Nesmith,,1,0,1
Drinkin' in the Driveway,Michael Stanley,,1,0,1
He Can't Love You,Michael Stanley,,1,0,1
Let's Get the Show on the Road,Michael Stanley,,1,0,1
